Program 4 Listening (Sampling ~33% of data)...
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.8% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.3% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.9% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.1% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.1% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.1% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.4% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.7% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.4% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.3% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.6% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.6% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.4% | Temp: 39.9°C | Status: OK
