Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.3% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.7% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 11.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 11.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 12.5% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 12.6% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.2% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 17.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 17.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 17.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 18.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 18.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 18.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 41.4°C | Status: OK
