Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.9% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.9% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.1% | Temp: 39.9°C | Status: OK
